date,name,code,close,trading_value_billion,daily_return_pct,is_new_listing
20240321,HLB제약,47920,39700,3298,20.67%,N
20240321,한국비엔씨,256840,9090,2354,16.39%,N
20240320,엑시콘,92870,29422,4026,16.48%,N
20240318,에스티팜,237690,96300,2718,18.45%,N
20240314,선익시스템,171090,46050,2495,25.82%,N
20240313,HLB생명과학,67630,18360,5318,16.80%,N
20240312,GST,83450,28167,3923,21.25%,N
20240312,엑시콘,92870,29278,3681,33.62%,N
20240311,시노펙스,25320,10181,2650,28.97%,N
20240311,리노공업,58470,48549,2565,16.87%,N
20240308,HLB,28300,98000,11907,22.50%,N
20240308,레이크머티리얼즈,281740,29650,5591,16.27%,N
20240307,폴라리스AI,39980,14535,2001,17.14%,N
20240306,리가켐바이오,141080,77600,9438,20.87%,N
20240304,GST,83450,24283,2224,18.89%,N
20240304,덕산테코피아,317330,38650,2441,31.02%,N
20240228,주성엔지니어링,36930,40000,5047,15.27%,N
20240227,큐알티,405100,37300,4110,15.12%,N
20240223,GC메디아이,32620,7170,4831,16.97%,N
20240222,가온칩스,399720,110300,6231,20.68%,N
20240221,삼익THK,4380,23885,2430,16.86%,N
20240221,네패스아크,330860,36900,2192,20.59%,N
20240220,솔브레인홀딩스,36830,85400,3494,16.67%,N
20240220,신성델타테크,65350,148400,6704,24.08%,N
20240219,엔켐,348370,301500,5283,25.10%,N
20240216,에스피소프트,443670,16820,7294,25.80%,Y
20240215,우리기술투자,41190,8530,4027,16.21%,N
20240215,에스피소프트,443670,12940,4627,55.16%,Y
20240214,오픈엣지테크놀로지,394280,31900,2128,18.59%,N
20240213,엔켐,348370,267500,6275,26.48%,N
20240213,가온칩스,399720,87300,3688,16.40%,N
20240213,HPSP,403870,59300,9196,20.04%,N
20240208,한미반도체,42700,78500,8920,28.27%,N
20240207,신성델타테크,65350,117300,5021,16.02%,N
20240207,하이비젼시스템,126700,25250,2503,17.99%,N
20240205,신성델타테크,65350,102300,5958,17.59%,N
20240201,엔켐,348370,180800,2541,18.40%,N
20240131,하이비젼시스템,126700,24450,3965,19.27%,N
20240130,비트컴퓨터,32850,7760,2251,25.97%,N
